,word,audio,defination,example,synonyms
92,Figurine,https://lex-audio.useremarkable.com/mp3/figurine_us_1.mp3,"A statuette, especially one of a human form.",Her dresser has dragon statues and figurines scattered on the top of it.,"'likeness', 'painting', 'drawing', 'picture', 'portrait', 'illustration', 'sketch', 'diagram', ""artist's impression"""
93,Juncture,https://lex-audio.useremarkable.com/mp3/juncture_us_1.mp3,A particular point in events or time.,It is difficult to say at this juncture whether this upturn can be sustained,"'point', 'point in time', 'time', 'moment', 'moment in time', 'stage'"
94,Abiding,https://lex-audio.useremarkable.com/mp3/abiding_us_1.mp3,(of a feeling or memory) lasting a long time; enduring.,He had an abiding respect for her,"'enduring', 'lasting', 'persisting', 'long-lasting', 'lifelong', 'continuing', 'remaining', 'surviving', 'standing', 'fixed', 'durable', 'everlasting', 'perpetual', 'eternal', 'unending', 'constant', 'permanent', 'stable', 'unchanging', 'steadfast', 'immutable'"
95,Creed,https://lex-audio.useremarkable.com/mp3/creed_us_1.mp3,A system of Christian or other religious belief; a faith.,People of many creeds and cultures,"'faith', 'religion', 'religious belief', 'religious beliefs', 'religious persuasion', 'religious conviction', 'religious group', 'faith community', 'church'"
96,Contentment,https://lex-audio.useremarkable.com/mp3/xcontentment_us_1.mp3,A state of happiness and satisfaction.,He found contentment in living a simple life in the country,"'contentedness', 'content', 'satisfaction', 'fulfilment'"
97,Unleash,https://lex-audio.useremarkable.com/mp3/unleash_gb_1.mp3,Release (a dog) from a leash.,They dig up badger setts and unleash terriers into them,"'let loose', 'release', 'free', 'set free', 'loose', 'unloose', 'unbridle', 'untie', 'untether', 'unchain', 'unbind', 'unshackle', 'unmanacle'"
98,Pervasive,https://lex-audio.useremarkable.com/mp3/pervasive_us_1.mp3,(especially of an unwelcome influence or physical effect) spreading widely throughout an area or a group of people.,Ageism is pervasive and entrenched in our society,"'prevalent', 'penetrating', 'pervading', 'permeating', 'extensive', 'ubiquitous', 'omnipresent', 'present everywhere', 'rife', 'widespread', 'general', 'common', 'universal', 'pandemic', 'epidemic', 'endemic', 'inescapable', 'insidious'"
99,Adolescence,https://lex-audio.useremarkable.com/mp3/adolescence_us_1.mp3,The period following the onset of puberty during which a young person develops from a child into an adult.,Mary spent her childhood and adolescence in europe,"'teenage years', 'teens', 'youth', 'young adulthood', 'young days', 'early life'"
100,Near,https://lex-audio.useremarkable.com/mp3/near_gb_1.mp3,At or to a short distance away from (a place),The car park near the sawmill,"'close to', 'close by', 'not far from', 'not far away from', 'a short distance from', 'in the vicinity of', 'in the neighbourhood of', 'within reach of', ""a stone's throw away from"", 'next to', 'adjacent to', 'alongside', 'bordering on', 'adjoining', 'abutting', 'contiguous with'"
101,Regret,https://lex-audio.useremarkable.com/mp3/regret_us_1.mp3,"Feel sad, repentant, or disappointed over (something that has happened or been done, especially a loss or missed opportunity)",She immediately regretted her words,"'be sorry about', 'feel contrite about', 'feel apologetic about', 'feel remorse about', 'feel remorse for', 'be remorseful about', 'rue', 'repent', 'repent of', 'feel repentant about', 'be regretful about', 'be regretful at', 'have a conscience about', 'blame oneself for'"
102,Eyesight,https://lex-audio.useremarkable.com/mp3/eyesight_us_1.mp3,A person's ability to see.,Poor eyesight ended his plans for a naval career,"'sight', 'vision', 'power of sight', 'faculty of sight', 'ability to see', 'power of seeing', 'powers of observation', 'observation', 'perception', 'visual perception'"
103,Unprecedented,https://lex-audio.useremarkable.com/mp3/unprecedented_us_1.mp3,Never done or known before.,The government took the unprecedented step of releasing confidential correspondence,"'unparalleled', 'unequalled', 'unmatched', 'unrivalled', 'without parallel', 'without equal'"
104,Aborigine,https://lex-audio.useremarkable.com/mp3/aborigine_us_1.mp3,"A person, animal, or plant that has been in a country or region from earliest times.",Most taiwanese and aborigines speak both a local language and the national language.,"'native', 'indigene', 'aboriginal', 'local', 'original inhabitant'"
